"id","created","timeCleared","offer_tiepe","canceled","cleared","updated","unitsAvailable","unitsCleared","priceCleared","priceOriginal","product","auction_id","group_id","phase_id","player_id"
500,2017-05-09 16:44:41.869353,,1,true,false,false,15,0,0,40,0,1,22,17,287
484,2017-05-09 16:44:15.461541,,0,true,false,false,15,0,0,60,0,1,22,17,292
495,2017-05-09 16:44:32.003684,,1,false,false,false,10,0,0,50,0,1,22,17,285
491,2017-05-09 16:44:24.412809,,0,true,false,false,10,0,0,59,0,1,22,17,286
485,2017-05-09 16:44:16.205255,,1,true,false,false,15,0,0,35,0,1,22,17,287
494,2017-05-09 16:44:30.990906,,0,true,false,false,5,0,0,60,0,1,22,17,292
498,2017-05-09 16:44:34.113050,,1,true,false,false,15,0,0,36,0,1,22,17,287
497,2017-05-09 16:44:34.111551,,1,true,false,false,15,0,0,38,0,1,22,17,288
505,2017-05-09 16:44:54.793495,,0,false,false,false,2,0,0,60,0,1,22,17,292
502,2017-05-09 16:44:44.892241,2017-05-09 16:44:44.891960,0,false,true,false,0,5,50,50,250,1,22,17,292
493,2017-05-09 16:44:26.329891,2017-05-09 16:44:44.891971,1,false,true,true,0,5,50,50,-250,1,22,17,291
503,2017-05-09 16:44:52.357634,,1,false,false,false,15,0,0,41,0,1,22,17,287
501,2017-05-09 16:44:43.875809,,1,true,false,false,15,0,0,40,0,1,22,17,288
504,2017-05-09 16:44:54.084790,,1,false,false,false,10,0,0,51,0,1,22,17,288
499,2017-05-09 16:44:38.437496,,0,true,false,false,5,0,0,54,0,1,22,17,292
496,2017-05-09 16:44:33.189459,,0,true,false,false,15,0,0,58,0,1,22,17,286
506,2017-05-09 16:44:59.848669,,0,false,false,false,10,0,0,55,0,1,22,17,286
507,2017-05-09 16:45:02.367334,,0,false,false,false,9,0,0,52,0,1,22,17,290
511,2017-05-09 16:45:28.332883,,0,false,false,false,2,0,0,70,0,1,22,18,292
512,2017-05-09 16:45:28.412867,2017-05-09 16:45:28.412351,0,false,true,false,0,5,35,35,175,1,22,18,291
508,2017-05-09 16:45:25.780570,2017-05-09 16:45:28.412514,1,false,true,false,0,5,35,35,-175,1,22,18,287
510,2017-05-09 16:45:26.725203,2017-05-09 16:45:44.305969,0,false,true,false,0,9,51,51,459,1,22,18,286
514,2017-05-09 16:45:31.793535,,0,true,false,false,10,0,0,55,0,1,22,18,289
528,2017-05-09 16:46:40.137109,2017-05-09 16:46:59.244895,1,false,true,false,0,10,36,36,-360,1,22,18,288
517,2017-05-09 16:45:44.306256,2017-05-09 16:45:44.305887,1,false,true,false,0,9,51,51,-459,1,22,18,285
533,2017-05-09 16:47:48.657584,2017-05-09 16:47:52.904488,0,false,true,false,0,5,45,45,225,1,22,19,286
516,2017-05-09 16:45:32.964006,,1,true,false,false,10,0,0,15,0,1,22,18,288
518,2017-05-09 16:45:44.319593,,0,true,false,true,1,0,0,51,0,1,22,18,286
570,2017-05-09 16:49:10.948565,2017-05-09 16:49:10.960003,1,false,true,true,0,6,45,45,-270,1,22,19,288
564,2017-05-09 16:48:54.155084,2017-05-09 16:49:10.960076,0,false,true,false,0,6,45,45,270,1,22,19,289
520,2017-05-09 16:45:54.480128,,1,true,false,false,10,0,0,20,0,1,22,18,288
521,2017-05-09 16:45:57.597937,,0,true,false,false,4,0,0,50,0,1,22,18,286
513,2017-05-09 16:45:28.448506,,1,true,false,true,4,0,0,35,0,1,22,18,287
526,2017-05-09 16:46:37.045821,2017-05-09 16:46:37.045508,1,false,true,false,0,4,45,45,-180,1,22,18,287
523,2017-05-09 16:46:25.135771,2017-05-09 16:46:37.045603,0,false,true,false,0,4,45,45,180,1,22,18,289
524,2017-05-09 16:46:26.150979,,1,true,false,false,10,0,0,25,0,1,22,18,288
525,2017-05-09 16:46:32.051592,,0,true,false,false,1,0,0,48,0,1,22,18,286
529,2017-05-09 16:46:41.222677,,0,false,false,false,1,0,0,43,0,1,22,18,286
530,2017-05-09 16:46:47.343457,,0,false,false,false,10,0,0,41,0,1,22,18,290
532,2017-05-09 16:47:46.415738,,0,true,false,false,15,0,0,60,0,1,22,19,292
539,2017-05-09 16:47:58.546987,,0,true,false,false,5,0,0,55,0,1,22,19,286
543,2017-05-09 16:48:10.488277,,1,false,false,false,14,0,0,30,0,1,22,19,287
545,2017-05-09 16:48:15.166712,2017-05-09 16:48:15.166483,1,false,true,false,0,7,47,47,-329,1,22,19,285
544,2017-05-09 16:48:11.048671,2017-05-09 16:48:15.166402,0,false,true,false,0,7,47,47,329,1,22,19,290
584,2017-05-09 16:49:51.871916,,0,true,false,false,5,0,0,44,0,1,22,20,286
547,2017-05-09 16:48:17.713805,2017-05-09 16:48:17.713589,0,false,true,false,0,3,47,45,141,1,22,19,292
