63,2017-05-09 15:59:25.823880,0,19,730,624,127,0,603,0,0,0,1,-1,-1,-1,5,14,0,0,0,1,22,8,290
60,2017-05-09 15:59:25.808355,1,19,-990,-884,0,3743,2753,0,0,0,1,-1,-1,-1,0,19,0,0,0,1,22,8,291
59,2017-05-09 15:59:25.803321,1,19,-930,-480,0,3743,2813,0,0,0,1,-1,-1,-1,0,19,0,0,0,1,22,8,288
68,2017-05-09 15:59:25.890383,1,10,-575,-750,0,1970,1395,0,0,0,1,-1,-1,-1,0,10,0,10,0,1,22,9,291
61,2017-05-09 15:59:25.813370,0,19,1215,275,1040,0,175,0,0,0,1,-1,-1,-1,0,23,0,0,0,1,22,8,286
57,2017-05-09 15:59:25.793185,1,19,-1010,-810,0,3743,2733,0,0,0,1,-1,-1,-1,0,19,0,0,0,1,22,8,285
58,2017-05-09 15:59:25.798231,1,18,-940,0,0,3546,2606,0,0,0,1,-1,-1,-1,0,18,0,0,0,1,22,8,287
70,2017-05-09 15:59:25.900522,0,10,540,0,127,0,413,0,0,0,1,-1,-1,-1,0,14,0,0,0,1,22,9,289
65,2017-05-09 15:59:25.849467,1,9,-459,0,0,1773,1314,0,0,0,1,-1,-1,-1,0,9,0,0,0,1,22,9,285
76,2017-05-09 15:59:26.000041,1,8,-515,-685,0,1576,1061,0,0,0,1,-1,-1,-1,0,8,0,15,0,1,22,10,291
66,2017-05-09 15:59:25.866571,1,9,-355,0,0,1773,1418,0,0,0,1,-1,-1,-1,0,9,0,0,0,1,22,9,287
71,2017-05-09 15:59:25.906677,0,9,0,0,0,0,0,0,0,0,1,-1,-1,-1,9,0,0,0,0,1,22,9,290
69,2017-05-09 15:59:25.895755,0,10,459,0,18.2,0,440.8,0,0,0,1,-1,-1,-1,1,9,0,0,0,1,22,9,286
72,2017-05-09 15:59:25.915088,0,9,750,750,171,0,579,0,0,0,1,-1,-1,-1,0,15,0,10,0,1,22,9,292
67,2017-05-09 15:59:25.884708,1,10,-360,0,0,1970,1610,0,0,0,1,-1,-1,-1,0,10,0,0,0,1,22,9,288
78,2017-05-09 15:59:26.014778,0,8,90,90,29.2,0,60.8,0,0,0,1,-1,-1,-1,0,10,0,0,0,1,22,10,289
74,2017-05-09 15:59:25.930069,1,8,-160,0,0,1576,1416,0,0,0,1,-1,-1,-1,0,8,0,0,0,1,22,10,287
84,2017-05-09 15:59:26.114333,1,15,-785,-960,0,2955,2170,0,0,0,1,-1,-1,-1,0,15,0,0,0,1,22,11,291
73,2017-05-09 15:59:25.923671,1,7,-668,-748,0,2364,1696,0,0,0,1,-1,-1,-1,0,12,0,14,0,1,22,10,285
77,2017-05-09 15:59:26.006999,0,8,641,641,127,0,514,0,0,0,1,-1,-1,-1,0,14,0,12,0,1,22,10,286
75,2017-05-09 15:59:25.992523,1,8,-422,-422,0,3546,3124,0,0,0,1,-1,-1,-1,0,18,0,2,0,1,22,10,288
79,2017-05-09 15:59:26.020700,0,8,415,505,10.7,0,404.3,0,0,0,1,-1,-1,-1,0,8,0,7,0,1,22,10,290
81,2017-05-09 15:59:26.035755,1,15,-675,-675,0,2955,2280,0,0,0,1,-1,-1,-1,0,15,0,15,0,1,22,11,285
85,2017-05-09 15:59:26.119099,0,15,940,940,580,0,360,0,0,0,1,-1,-1,-1,0,20,0,0,0,1,22,11,286
83,2017-05-09 15:59:26.108641,1,15,-615,-440,0,3940,3325,0,0,0,1,-1,-1,-1,0,20,0,0,0,1,22,11,288
94,2017-05-09 15:59:26.223317,0,12,830,830,580,0,250,0,0,0,1,-1,-1,-1,0,20,0,10,0,1,22,12,289
87,2017-05-09 15:59:26.135304,0,15,0,0,0,0,0,0,0,0,1,-1,-1,-1,15,0,0,0,0,1,22,11,290
88,2017-05-09 15:59:26.153901,0,14,675,675,171,0,504,0,0,0,1,-1,-1,-1,0,15,0,15,0,1,22,11,292
82,2017-05-09 15:59:26.041549,1,14,412,-20,0,2955,3367,0,0,0,1,-1,-1,-1,0,15,0,0,0,1,22,11,287
86,2017-05-09 15:59:26.124076,0,15,48,480,3145,0,-3097,0,0,0,1,-1,-1,-1,0,30,0,0,0,1,22,11,289
93,2017-05-09 15:59:26.218267,0,13,567,450,92,0,475,0,0,0,1,-1,-1,-1,0,13,0,10,0,1,22,12,286
91,2017-05-09 15:59:26.196772,1,13,-570,-570,0,2955,2385,0,0,0,1,-1,-1,-1,0,15,0,5,0,1,22,12,288
89,2017-05-09 15:59:26.174894,1,12,-554,-644,0,2364,1810,0,0,0,1,-1,-1,-1,0,12,0,10,0,1,22,12,285
