id,success,trials,finished,pqo_init,player_id,question_id
913,false,0,false,false,113,13
914,false,0,false,false,114,13
915,false,0,false,false,115,13
916,false,0,false,false,116,13
917,false,0,false,false,117,13
918,false,0,false,false,118,13
919,false,0,false,false,119,13
920,false,0,false,false,120,13
921,false,0,false,false,97,14
922,false,0,false,false,98,14
923,false,0,false,false,99,14
924,false,0,false,false,100,14
925,false,0,false,false,101,14
926,false,0,false,false,102,14
927,false,0,false,false,103,14
928,false,0,false,false,104,14
929,false,0,false,false,105,14
930,false,0,false,false,106,14
931,false,0,false,false,107,14
932,false,0,false,false,108,14
933,false,0,false,false,109,14
934,false,0,false,false,110,14
935,false,0,false,false,111,14
936,false,0,false,false,112,14
937,false,0,false,false,113,14
938,false,0,false,false,114,14
939,false,0,false,false,115,14
940,false,0,false,false,116,14
941,false,0,false,false,117,14
942,false,0,false,false,118,14
943,false,0,false,false,119,14
944,false,0,false,false,120,14
945,false,0,false,false,97,15
946,false,0,false,false,98,15
947,false,0,false,false,99,15
948,false,0,false,false,100,15
949,false,0,false,false,101,15
950,false,0,false,false,102,15
951,false,0,false,false,103,15
952,false,0,false,false,104,15
953,false,0,false,false,105,15
954,false,0,false,false,106,15
955,false,0,false,false,107,15
956,false,0,false,false,108,15
957,false,0,false,false,109,15
958,false,0,false,false,110,15
959,false,0,false,false,111,15
960,false,0,false,false,112,15
961,false,0,false,false,113,15
962,false,0,false,false,114,15
963,false,0,false,false,115,15
964,false,0,false,false,116,15
965,false,0,false,false,117,15
966,false,0,false,false,118,15
967,false,0,false,false,119,15
968,false,0,false,false,120,15
969,false,0,false,false,97,16
970,false,0,false,false,98,16
971,false,0,false,false,99,16
972,false,0,false,false,100,16
973,false,0,false,false,101,16
974,false,0,false,false,102,16
975,false,0,false,false,103,16
976,false,0,false,false,104,16
977,false,0,false,false,105,16
978,false,0,false,false,106,16
979,false,0,false,false,107,16
980,false,0,false,false,108,16
981,false,0,false,false,109,16
982,false,0,false,false,110,16
983,false,0,false,false,111,16
984,false,0,false,false,112,16
985,false,0,false,false,113,16
986,false,0,false,false,114,16
987,false,0,false,false,115,16
988,false,0,false,false,116,16
989,false,0,false,false,117,16
990,false,0,false,false,118,16
991,false,0,false,false,119,16
992,false,0,false,false,120,16
993,false,0,false,false,97,17
994,false,0,false,false,98,17
995,false,0,false,false,99,17
996,false,0,false,false,100,17
997,false,0,false,false,101,17
998,false,0,false,false,102,17
999,false,0,false,false,103,17
1000,false,0,false,false,104,17
1001,false,0,false,false,105,17
1002,false,0,false,false,106,17
1003,false,0,false,false,107,17
1004,false,0,false,false,108,17
1005,false,0,false,false,109,17
1006,false,0,false,false,110,17
1007,false,0,false,false,111,17
1008,false,0,false,false,112,17
1009,false,0,false,false,113,17
1010,false,0,false,false,114,17
1011,false,0,false,false,115,17
1012,false,0,false,false,116,17
1013,false,0,false,false,117,17
1014,false,0,false,false,118,17
1015,false,0,false,false,119,17
1016,false,0,false,false,120,17
1017,false,0,false,false,97,18
1018,false,0,false,false,98,18
1019,false,0,false,false,99,18
1020,false,0,false,false,100,18
1021,false,0,false,false,101,18
1022,false,0,false,false,102,18
1023,false,0,false,false,103,18
1024,false,0,false,false,104,18
1025,false,0,false,false,105,18
1026,false,0,false,false,106,18
1027,false,0,false,false,107,18
1028,false,0,false,false,108,18
1029,false,0,false,false,109,18
1030,false,0,false,false,110,18
1031,false,0,false,false,111,18
1032,false,0,false,false,112,18
1033,false,0,false,false,113,18
1034,false,0,false,false,114,18
1035,false,0,false,false,115,18
1036,false,0,false,false,116,18
1037,false,0,false,false,117,18
1038,false,0,false,false,118,18
1039,false,0,false,false,119,18
1040,false,0,false,false,120,18
1041,false,0,false,false,97,19
1042,false,0,false,false,98,19
1043,false,0,false,false,99,19
1044,false,0,false,false,100,19
1045,false,0,false,false,101,19
1046,false,0,false,false,102,19
1047,false,0,false,false,103,19
1048,false,0,false,false,104,19
1049,false,0,false,false,105,19
1050,false,0,false,false,106,19
1051,false,0,false,false,107,19
1052,false,0,false,false,108,19
1053,false,0,false,false,109,19
1054,false,0,false,false,110,19
1055,false,0,false,false,111,19
1056,false,0,false,false,112,19
1057,false,0,false,false,113,19
1058,false,0,false,false,114,19
1059,false,0,false,false,115,19
1060,false,0,false,false,116,19
1061,false,0,false,false,117,19
1062,false,0,false,false,118,19
1063,false,0,false,false,119,19
1064,false,0,false,false,120,19
